whisky,meta_critic,stdev,count,cost,class,super_cluster,cluster,country,type
Pike Creek 10yo Port-finished,8.28,0.52,12,$$,Rye-like,,,Canada,Blend
Pike Creek 10yo Rum-finished,8.66,0.24,3,$$,Rye-like,,,Canada,Blend
Pikesville Straight Rye,8.73,0.48,13,$$$$,Rye-like,,,USA,Rye
Port Charlotte 10yo Heavily Peated,8.65,0.27,4,$$$$,SingleMalt-like,I,I,Scotland,Malt
Port Charlotte An Turas Mor,8.71,0.28,10,$$$$,SingleMalt-like,I,I,Scotland,Malt
Port Charlotte Islay Barley Heavily Peated,8.89,0.17,3,$$$$,SingleMalt-like,J,J,Scotland,Malt
Port Charlotte PC10 (Second Edition),8.88,0.17,3,$$$$,SingleMalt-like,I,I,Scotland,Malt
Port Charlotte PC10 Tro Na Linntean,8.97,0.46,9,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Port Charlotte PC11 Eorna Na H-Alba,8.91,0.27,4,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Port Charlotte PC12 Oileanach Furachail,8.67,0.61,5,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Port Charlotte Scottish Barley Heavily Peated,8.76,0.26,15,$$$$,SingleMalt-like,I,I,Scotland,Malt
Port Charlotte The Peat Project,8.50,0.40,7,$$$$,SingleMalt-like,J,J,Scotland,Malt
Potter's Special Old,8.41,0.42,4,$,Rye-like,,,Canada,Blend
Powers 12yo John's Lane,8.82,0.39,14,$$$$,Scotch-like,,,Ireland,Blend
Powers 12yo Reserve,8.62,0.25,6,$$$,Scotch-like,,,Ireland,Blend
Powers Gold Label,7.99,0.52,11,$$,Scotch-like,,,Ireland,Blend
Powers Signature Release,8.22,0.52,4,$$$,Scotch-like,,,Ireland,Blend
Prichards Rye,8.44,0.32,3,$$$$,Rye-like,,,USA,Rye
Proof Whisky,7.22,0.81,9,$$,Rye-like,,,Canada,Blend
Rebel Yell Kentucky Bourbon,7.59,0.59,11,$,Bourbon-like,,,USA,Bourbon
Redbreast 12yo,8.75,0.41,21,$$$,SingleMalt-like,EF,E,Ireland,Malt
Redbreast 12yo Cask Strength,9.07,0.35,17,$$$$,SingleMalt-like,EF,E,Ireland,Malt
Redbreast 15yo,8.74,0.26,13,$$$$,SingleMalt-like,EF,E,Ireland,Malt
Redbreast 21yo,9.16,0.32,14,$$$$$,SingleMalt-like,ABC,C,Ireland,Malt
Redbreast All Sherry Single Cask 1999,8.42,0.91,4,$$$$$,SingleMalt-like,ABC,A,Ireland,Malt
Redbreast Lustau Edition,8.88,0.33,6,$$$$,SingleMalt-like,ABC,C,Ireland,Malt
Redbreast Mano a Lmh,8.67,0.37,4,$$$,SingleMalt-like,ABC,C,Ireland,Malt
Redemption High Rye Bourbon,7.82,0.42,4,$$,Bourbon-like,,,USA,Bourbon
Rich and Rare,7.70,0.60,5,$,Rye-like,,,Canada,Blend
Rich and Rare Reserve,7.96,0.29,6,$,Rye-like,,,Canada,Blend
Rittenhouse Rye 100 Proof,8.58,0.24,15,$$,Rye-like,,,USA,Rye
Royal Brackla 12yo,8.26,0.47,12,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Royal Brackla 16yo,8.76,0.23,5,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Royal Brackla 21yo,8.80,0.18,4,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Royal Canadian Small Batch,8.04,0.35,12,$$,Rye-like,,,Canada,Blend
Royal Lochnagar 12yo,7.92,0.30,11,$$,SingleMalt-like,ABC,C,Scotland,Malt
Russell's Reserve 6yo Rye,8.70,0.28,7,$$$,Rye-like,,,USA,Rye
Russell's Reserve Single Barrel,8.82,0.47,8,$$$$,Bourbon-like,,,USA,Bourbon
Russell's Reserve Small Batch 10yo Bourbon,8.54,0.29,14,$$,Bourbon-like,,,USA,Bourbon
Sazerac 18yo,8.94,0.35,13,$$$$$+,Rye-like,,,USA,Rye
Sazerac Straight Rye,8.59,0.46,13,$$,Rye-like,,,USA,Rye
Scapa 16yo,8.29,0.27,14,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Scapa Skiren,7.80,0.55,9,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Schenley Golden Wedding,7.88,0.70,9,$,Rye-like,,,Canada,Blend
Seagram's Canadian 83,7.36,0.81,7,$,Rye-like,,,Canada,Blend
Seagram's VO,7.79,0.69,9,$,Rye-like,,,Canada,Blend
Sheep Dip 1999 Amoroso Blended Malt,8.71,0.57,3,$$$,SingleMalt-like,ABC,C,Scotland,Malt
Sheep Dip Blended Malt,8.46,0.33,11,$$,SingleMalt-like,GH,H,Scotland,Malt
Sheep Dip Old Hebridean 1990 Blended Malt,9.12,0.20,4,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Silk Tassel,7.73,0.71,4,$,Rye-like,,,Canada,Blend
Smgen Primr,8.51,0.24,4,$$$$$,SingleMalt-like,ABC,C,Sweden,Malt
Smgen Single Cask (2010/2011),8.91,0.15,3,$$$$$,SingleMalt-like,J,J,Sweden,Malt
Smooth Ambler Old Scout 10yo Bourbon,8.62,0.44,3,$$$$,Bourbon-like,,,USA,Bourbon
Smooth Ambler Old Scout 7yo Bourbon,8.51,0.38,9,$$$,Bourbon-like,,,USA,Bourbon
Smooth Ambler Old Scout 7yo Rye,8.56,0.36,6,$$$,Rye-like,,,USA,Rye
Smooth Ambler Old Scout Single Barrel Bourbon,8.89,0.24,5,$$$$,Bourbon-like,,,USA,Bourbon
Smooth Ambler Old Scout Yearling Bourbon,7.88,1.24,3,$$$,Bourbon-like,,,USA,Bourbon
Speyburn 10yo,8.07,0.33,18,$$,SingleMalt-like,GH,H,Scotland,Malt
Speyside 10yo,7.71,0.64,4,$$$,SingleMalt-like,EF,E,Scotland,Malt
Speyside 12yo,7.86,0.61,10,$$,SingleMalt-like,GH,H,Scotland,Malt
Spirit of Hven Sankt Claus,8.60,0.58,3,$$$$$,SingleMalt-like,ABC,C,Sweden,Malt
Spirit of Hven Seven Stars No. 1 Dubhe,8.29,0.41,3,$$$$$,SingleMalt-like,I,I,Sweden,Malt
Spirit of Hven Seven Stars No. 2 Merak,8.38,0.26,3,$$$$$,SingleMalt-like,I,I,Sweden,Malt
Spirit of Hven Seven Stars No. 3 Phecda,8.53,0.34,3,$$$$$,SingleMalt-like,I,I,Sweden,Malt
Spirit of Hven Tychos Star,8.57,0.07,3,$$$$,SingleMalt-like,I,I,Sweden,Malt
Spirit of Hven Urania,8.56,0.46,3,$$$$$+,SingleMalt-like,GH,H,Sweden,Malt
Springbank 10yo,8.70,0.25,19,$$$$,SingleMalt-like,I,I,Scotland,Malt
Springbank 11yo Local Barley,9.10,0.27,4,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Springbank 12yo Cask Strength,8.87,0.25,16,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Springbank 12yo Green,8.80,0.27,8,$$$$,SingleMalt-like,I,I,Scotland,Malt
Springbank 13yo Green,8.89,0.21,4,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Springbank 15yo,8.69,0.24,17,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Springbank 16yo Local Barley,9.08,0.16,10,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Springbank 18yo,8.96,0.18,17,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Springbank 21yo,8.98,0.22,10,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt
Springbank CV,8.25,0.37,8,$$$,SingleMalt-like,I,I,Scotland,Malt
St George's Chapter 6 (unpeated),8.24,0.47,10,$$$,SingleMalt-like,GH,G,England,Malt
St George's Chapter 9 (peated),8.21,0.44,5,$$$,SingleMalt-like,I,I,England,Malt
Stagg Jr (all batches),8.58,0.40,16,$$$$,Bourbon-like,,,USA,Bourbon
Stagg Jr (batches 1-2),8.45,0.38,13,$$$$,Bourbon-like,,,USA,Bourbon
Stagg Jr (batches 3-6),8.90,0.19,6,$$$$,Bourbon-like,,,USA,Bourbon
Stalk & Barrel 11+1 Canadian whisky,8.20,0.43,16,$$,Rye-like,,,Canada,Blend
Stalk & Barrel Red Blend,8.41,0.49,4,$$,Rye-like,,,Canada,Blend
Stalk & Barrel Rye,8.56,0.19,5,$$$,Rye-like,,,Canada,Blend
Stalk & Barrel Rye (Cask Strength),8.40,0.55,4,$$$,Rye-like,,,Canada,Blend
Stalk & Barrel Single Malt (All Casks),8.26,0.41,12,$$$,SingleMalt-like,EF,F,Canada,Malt
Storas 21yo Rare Cask Reserves Blended Malt,8.61,0.04,3,$$$,SingleMalt-like,EF,E,Scotland,Blend
Stranahan's Colorado Whiskey,8.54,0.32,13,$$$$,Bourbon-like,,,USA,Bourbon
Strathisla 12yo,8.21,0.31,13,$$$,SingleMalt-like,EF,E,Scotland,Malt
Strathmill 12yo,8.37,0.28,3,$$$$,SingleMalt-like,GH,G,Scotland,Malt
Strathmill 25yo,8.81,0.4,4,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt
Stronachie 12yo,8.17,0.29,8,$$$,SingleMalt-like,GH,H,Scotland,Malt
Stronachie 18yo,8.62,0.26,5,$$$$,SingleMalt-like,GH,H,Scotland,Malt
Sullivans Cove American Oak,8.55,0.27,4,$$$$$,SingleMalt-like,EF,E,Tasmania,Malt
Sullivans Cove Bourbon Cask Strength,8.54,0.76,6,$$$$,SingleMalt-like,EF,F,Tasmania,Malt
Sullivans Cove Double Cask,8.28,0.52,13,$$$$,SingleMalt-like,EF,E,Tasmania,Malt
Sullivans Cove French Oak,8.67,0.28,8,$$$$$+,SingleMalt-like,ABC,C,Tasmania,Malt
Sullivans Cove Port Cask Strength,8.45,0.59,7,$$$$$,SingleMalt-like,EF,E,Tasmania,Malt
Suntory Old Whisky,8.3,0.33,7,$$$,Scotch-like,,,Japan,Blend
Suntory Toki,8.21,0.46,6,$$$,Scotch-like,,,Japan,Blend
Talisker 10yo,8.92,0.18,22,$$$$,SingleMalt-like,I,I,Scotland,Malt
Talisker 18yo,9.18,0.2,16,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Talisker 25yo,8.98,0.3,15,$$$$$+,SingleMalt-like,I,I,Scotland,Malt
Talisker 30yo,9.2,0.34,13,$$$$$+,SingleMalt-like,I,I,Scotland,Malt
Talisker 57 North,8.95,0.21,16,$$$$,SingleMalt-like,I,I,Scotland,Malt
Talisker Dark Storm,8.75,0.13,8,$$$,SingleMalt-like,I,I,Scotland,Malt
Talisker Distiller's Edition (all editions),8.94,0.26,20,$$$$,SingleMalt-like,I,I,Scotland,Malt
Talisker Port Ruighe,8.5,0.41,15,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Talisker Skye,8.44,0.25,11,$$,SingleMalt-like,GH,G,Scotland,Malt
Talisker Storm,8.61,0.27,16,$$$$,SingleMalt-like,I,I,Scotland,Malt
Tamdhu 10yo,8.22,0.6,15,$$$$,SingleMalt-like,GH,H,Scotland,Malt
Tamdhu Batch Strength (both batches),8.47,0.57,6,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Tamnavulin 12yo,7.68,0.84,4,$$,SingleMalt-like,GH,H,Scotland,Malt
T Bheag,8.47,0.29,14,$$,Scotch-like,,,Scotland,Blend
Teacher's Highland Cream,7.96,0.72,11,$,Scotch-like,,,Scotland,Blend
Teaninich 10yo (F&F),8.08,0.27,3,,SingleMalt-like,EF,F,Scotland,Malt
Teeling Poitin,8.14,0.24,5,$$,Scotch-like,,,Ireland,Blend
Teeling Silver Reserve 21yo Sauternes Finish,8.92,0.33,10,$$$$$,SingleMalt-like,GH,H,Ireland,Malt
Teeling Single Grain (Wine Cask Finish),8.53,0.32,10,$$$,Scotch-like,,,Ireland,Grain
Teeling Single Malt,8.47,0.34,7,$$$$,SingleMalt-like,ABC,C,Ireland,Malt
Teeling Small Batch (Rum Cask Finish),8.31,0.41,19,$$,SingleMalt-like,EF,E,Ireland,Blend
Teerenpeli 10yo,8.21,0.39,5,$$$$$,SingleMalt-like,GH,H,Finland,Malt
Teerenpeli 8yo,8.42,0.4,6,$$$$$,SingleMalt-like,EF,E,Finland,Malt
Teerenpeli Distillers Choice KARHI,8.73,0.12,3,$$$$,SingleMalt-like,ABC,C,Finland,Malt
Teerenpeli Distillers Choice RASI,8.55,0.34,3,$$$$,SingleMalt-like,EF,E,Finland,Malt
Teerenpeli Distiller's Choice KASKI,8.56,0.26,3,$$$$,SingleMalt-like,EF,E,Finland,Malt
Templeton Rye,8,0.41,7,$$$,Rye-like,,,USA,Rye
The Irishman Cask Strength,8.68,0.25,4,$$$$$,Scotch-like,,,Ireland,Blend
The Irishman Founders Reserve,8.32,0.38,6,$$,Scotch-like,,,Ireland,Blend
The Irishman Original Clan Irish Whiskey,8.16,0.21,4,$$,Scotch-like,,,Ireland,Blend
The Irishman Single Malt (NAS),7.92,0.19,5,$$$,SingleMalt-like,EF,E,Ireland,Malt
The Nikka 12yo Premium Blended,8.51,0.15,3,$$$$,Scotch-like,,,Japan,Blend
The Quiet Man 8yo Single Malt,8.23,0.52,5,$$$,SingleMalt-like,GH,H,Ireland,Malt
The Quiet Man Traditional Irish Whiskey,7.52,1.12,6,$$,Scotch-like,,,Ireland,Blend
Thomas H. Handy Sazerac,9.13,0.21,14,$$$$$+,Rye-like,,,USA,Rye
Three Ships 10yo,8.42,0.38,9,$$$$,Scotch-like,,,South Africa,Blend
Three Ships 5yo,8.06,0.49,9,$,Scotch-like,,,South Africa,Blend
Tincup American Whiskey,8.15,0.32,7,$$,Bourbon-like,,,USA,Bourbon
Tobermory 10yo,8.22,0.42,20,$$$,SingleMalt-like,EF,F,Scotland,Malt
Tobermory 15yo,8.54,0.33,13,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Tomatin 12yo,7.87,0.58,16,$$,SingleMalt-like,EF,E,Scotland,Malt
Tomatin 14yo Portwood,8.55,0.34,8,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Tomatin 15yo,8.34,0.51,7,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Tomatin 18yo,8.68,0.21,9,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Tomatin 40yo,8.98,0.35,3,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt
Tomatin Cask Strength,8.35,0.45,10,$$$$,SingleMalt-like,GH,G,Scotland,Malt
Tomatin Cu Bocan,8.09,0.33,11,$$$$,SingleMalt-like,GH,H,Scotland,Malt
Tomatin Cu Bocan 1989 Limited Edition,8.95,0.25,4,$$$$$+,SingleMalt-like,I,I,Scotland,Malt
Tomatin Cu Bocan Sherry Edition,8.36,0.29,4,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Tomatin Cu Bocan Virgin Oak Edition,8.52,0.46,3,$$$$,SingleMalt-like,GH,H,Scotland,Malt
Tomatin Decades,8.96,0.52,8,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Tomatin Legacy,8.15,0.47,10,$$,SingleMalt-like,GH,G,Scotland,Malt
Tomintoul 10yo,7.83,0.32,14,$$$,SingleMalt-like,GH,G,Scotland,Malt
Tomintoul 12yo Oloroso Sherry,8.22,0.57,10,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Tomintoul 16yo,8.3,0.43,14,$$$,SingleMalt-like,GH,G,Scotland,Malt
Tomintoul Peaty Tang,7.89,0.71,11,$$,SingleMalt-like,J,J,Scotland,Malt
Tormore 12yo,7.86,0.37,9,$$$,SingleMalt-like,GH,G,Scotland,Malt
Tormore 14yo,8.17,0.32,5,$$$,SingleMalt-like,GH,G,Scotland,Malt
Tullamore Dew 10yo Single Malt,8,0.82,6,$$$,SingleMalt-like,EF,E,Ireland,Malt
Tullamore Dew Blended,7.81,0.38,17,$$,Scotch-like,,,Ireland,Blend
Tullamore Dew Blended 12yo,7.97,0.33,10,$$$,Scotch-like,,,Ireland,Blend
Tullibardine 1993 Port,8,0.35,5,$$$$,SingleMalt-like,ABC,B,Scotland,Malt
Tullibardine 1993 Sauternes,8.2,0.32,5,$$$,SingleMalt-like,EF,E,Scotland,Malt
Tullibardine 20yo,8.66,0.29,4,$$$$$,SingleMalt-like,GH,G,Scotland,Malt
Tullibardine 225 Sauternes Finish,8.31,0.38,6,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Tullibardine 228 Burgundy Finish,8.06,0.39,4,$$$,SingleMalt-like,EF,E,Scotland,Malt
Tullibardine 25yo,8.44,0.39,6,$$$$$+,SingleMalt-like,EF,E,Ireland,Malt
Tullibardine 500 Sherry Finish,8.25,0.29,6,$$$,SingleMalt-like,ABC,C,Scotland,Malt
Tullibardine Aged Oak Edition,8.04,0.44,9,$$$,SingleMalt-like,GH,G,Scotland,Malt
Tullibardine Sovereign,8.19,0.24,9,$$$,SingleMalt-like,GH,G,Scotland,Malt
Tullibardine Vintage 1993,8.27,0.43,10,$$$,SingleMalt-like,GH,G,Scotland,Malt
Tyrconnell 10yo Madeira Cask Finish,8.55,0.38,10,$$$$,SingleMalt-like,EF,E,Ireland,Malt
Tyrconnell 10yo Port Cask Finish,8.54,0.37,10,$$$$,SingleMalt-like,ABC,B,Ireland,Malt
Tyrconnell 10yo Sherry Cask Finish,8.3,0.15,5,$$$$,SingleMalt-like,ABC,B,Ireland,Malt
Tyrconnell Single Malt Irish Whiskey,8.14,0.39,14,$$,SingleMalt-like,GH,H,Ireland,Malt
Van Winkle Family Reserve Rye 13yo,8.96,0.34,8,$$$$$+,Rye-like,,,USA,Rye
Van Winkle Special Reserve 12yo Lot B,8.7,0.17,7,$$$$$+,Bourbon-like,,,USA,Bourbon
Very Old Barton 6yo,8.45,0.37,6,$,Bourbon-like,,,USA,Bourbon
Very Old Barton 6yo BiB,8.34,0.38,3,$$,Bourbon-like,,,USA,Bourbon
Virginia Black,7.63,1.11,4,$$,Bourbon-like,,,USA,Bourbon
W.L. Weller 12yo,8.87,0.25,12,$$$$$,Bourbon-like,,,USA,Bourbon
W.L. Weller Special Reserve,8.43,0.4,11,$,Bourbon-like,,,USA,Bourbon
Wayne Gretzky No. 99 Red Cask,8.08,0.34,5,$$,Rye-like,,,Canada,Blend
Wemyss Malts Kiln Embers,8.77,0.09,3,$$$,SingleMalt-like,J,J,Scotland,Malt
Wemyss Malts Peat Chimney,8.47,0.38,12,$$$,SingleMalt-like,I,I,Scotland,Malt
Wemyss Malts Smooth Gentleman,8.3,0.09,3,$$$,SingleMalt-like,EF,E,Scotland,Malt
Wemyss Malts The Hive,8.4,0.21,13,$$$,SingleMalt-like,GH,G,Scotland,Malt
Wemyss Malts The Rockpool,8.9,0.28,3,$$$,SingleMalt-like,I,I,Scotland,Malt
Wemyss Malts The Spice King,8.41,0.3,12,$$$,SingleMalt-like,ABC,C,Scotland,Malt
Wemyss Malts Velvet Fig,8.27,1.12,5,$$$,SingleMalt-like,ABC,A,Scotland,Malt
West Cork Original Irish Whiskey,8.01,0.48,3,$$,Scotch-like,,,Ireland,Blend
Westland American Single Malt,8.57,0.35,11,$$$$,SingleMalt-like,EF,E,USA,Malt
Westland Garryana,8.63,0.08,4,$$$$$,SingleMalt-like,GH,G,USA,Malt
Westland Peated,8.63,0.56,7,$$$$,SingleMalt-like,I,I,USA,Malt
Westland Sherry Wood,8.37,0.53,12,$$$$,SingleMalt-like,ABC,B,USA,Malt
Westland Winter 2016,8.49,0.7,3,$$$$,SingleMalt-like,ABC,C,USA,Malt
Whistlepig 10yo,8.85,0.43,15,$$$$,Rye-like,,,Canada,Blend
Whistlepig The Boss Hog,8.82,0.28,9,$$$$$,Rye-like,,,Canada,Blend
White Oak Akashi 14yo,8.84,0.53,3,$$$$$+,SingleMalt-like,ABC,C,Japan,Malt
White Oak Akashi 5yo,8.17,0.61,7,$$$$$,SingleMalt-like,GH,G,Japan,Malt
White Oak Akashi Blended,7.99,0.42,6,$$$,Scotch-like,,,Japan,Blend
White Oak Akashi Single Malt (NAS),7.96,0.53,6,$$$$,SingleMalt-like,GH,G,Japan,Malt
Whyte & Mackay Special Reserve,7.38,0.42,6,$,Scotch-like,,,Scotland,Blend
Wild Turkey 101 Bourbon,8.46,0.43,18,$$,Bourbon-like,,,USA,Bourbon
Wild Turkey 101 Rye,8.46,0.3,8,$$,Rye-like,,,USA,Rye
Wild Turkey 81 Bourbon,8.17,0.4,13,$,Bourbon-like,,,USA,Bourbon
Wild Turkey 81 Rye,8.02,0.17,6,$$,Bourbon-like,,,USA,Bourbon
Wild Turkey Rare Breed,8.72,0.31,15,$$$,Bourbon-like,,,USA,Bourbon
Willett Family Estate 11yo Bourbon,8.87,0.22,4,$$$$$+,Bourbon-like,,,USA,Bourbon
Willett Family Estate 13yo Bourbon,8.78,0.43,3,$$$$$+,Bourbon-like,,,USA,Bourbon
Willett Family Estate 17yo Bourbon,8.93,0.54,3,$$$$$+,Bourbon-like,,,USA,Bourbon
Willett Family Estate 22yo Bourbon,9.34,0.1,3,$$$$$+,Bourbon-like,,,USA,Bourbon
Willett Family Estate 25yo Rye,8.76,0.5,3,$$$$$+,Rye-like,,,USA,Rye
Willett Family Estate 2yo Rye,8.45,0.3,7,$$$,Rye-like,,,USA,Rye
Willett Family Estate 3yo Rye,8.72,0.44,5,$$$,Rye-like,,,USA,Rye
Willett Family Estate 4yo Rye,8.8,0.49,7,$$$,Rye-like,,,USA,Rye
Willett Family Estate 6yo Rye,8.95,0.18,4,$$$$,Rye-like,,,USA,Rye
Willett Family Estate 9yo Bourbon,8.61,0.32,3,$$$$,Bourbon-like,,,USA,Bourbon
Willett Family Estate Bourbon (all ages),8.94,0.25,12,$$$$,Bourbon-like,,,USA,Bourbon
Willett Family Estate Rye (all ages),8.7,0.29,12,$$$$,Rye-like,,,USA,Rye
Willett Pot Still Reserve,8.63,0.51,9,$$$,Bourbon-like,,,USA,Bourbon
William Larue Weller,9.18,0.25,11,$$$$$+,Bourbon-like,,,USA,Bourbon
Wolfburn (NAS),8.3,0.36,9,$$$,SingleMalt-like,GH,G,Scotland,Malt
Woodford Reserve bourbon,8.4,0.35,18,$$,Bourbon-like,,,USA,Bourbon
Woodford Reserve Double Oaked,8.77,0.29,11,$$$$,Bourbon-like,,,USA,Bourbon
Woodford Reserve Straight Rye,8.47,0.24,8,$$,Rye-like,,,USA,Rye
Writers Tears Pot Still Irish Whiskey,8.49,0.33,16,$$,Scotch-like,,,Ireland,Blend
Yamazaki 12yo,8.63,0.28,21,$$$$,SingleMalt-like,GH,G,Japan,Malt
Yamazaki 18yo,9.14,0.21,20,$$$$$,SingleMalt-like,ABC,C,Japan,Malt
Yamazaki Bourbon Barrel,8.79,0.23,9,$$$$$,SingleMalt-like,GH,G,Japan,Malt
Yamazaki Distiller's Reserve,8.67,0.26,5,$$$$,SingleMalt-like,EF,E,Japan,Malt
Yamazaki Mizunara,8.95,0.2,8,$$$$$+,SingleMalt-like,EF,E,Japan,Malt
Yamazaki NAS,8.46,0.23,6,$$$$,SingleMalt-like,GH,G,Japan,Malt
Yamazaki Puncheon,8.65,0.23,10,$$$$$,SingleMalt-like,GH,G,Japan,Malt
Yamazaki Sherry Cask (all vintages),9.08,0.29,11,$$$$$+,SingleMalt-like,ABC,A,Japan,Malt
Yamazakura 16yo Blended Whisky,8.08,0.52,3,$$$$$,Scotch-like,,,Japan,Blend
Yamazakura Blended Whisky,6.64,1.16,3,$$$,Scotch-like,,,Japan,Blend
Yellow Rose Straight Rye,8.31,0.53,5,$$$,Rye-like,,,USA,Rye
Yellow Spot,8.78,0.27,14,$$$$,Scotch-like,,,Ireland,Blend
Yellowstone 2015 Limited Edition,8.36,0.64,4,$$$$$,Bourbon-like,,,USA,Bourbon
Yellowstone 2016 Limited Edition,8.73,0.45,3,$$$$$,Bourbon-like,,,USA,Bourbon
Yellowstone Select,8.18,0.28,3,$$$,Bourbon-like,,,USA,Bourbon
