name,rating,rabble,price,alt_brand
13th Colony Southern Bourbon,411,Unrated,$33,13th colony southern
13th Colony Southern Rye Whiskey,376,Unrated,$31,13th colony rye southern
1792 Port Finish Bourbon,603,5.0,$40,1792 finish port
1792 Small Batch Bourbon,593,3.6,$30,1792 batch small
1920 Prohibition Bourbon,507,Unrated,$18,1920 prohibition
287 Single Malt Whiskey,381,Unrated,$49,287
2bar Spirits Moonshine,Unrated,Unrated,$30,2bar moonshine spirits
4 Spirits Bourbon,272,5.0,$27,4 spirits
Abraham Bowman Gingerbread Cocoa Bourbon,Unrated,Unrated,$40,abraham bowman cocoa gingerbread
AD Laws Four Grain Bourbon,503,Unrated,$65,ad four grain laws
AD Laws Single Barrel Secale Rye Whiskey,507,Unrated,$105,ad barrel laws rye secale single
Adirondack 601 Bourbon,395,Unrated,$40,601 adirondack
AH Hirsch Reserve 16yr Bourbon,Unrated,Unrated,$500,16 ah hirsch reserve
Alibi American Whiskey,458,Unrated,$23,alibi american
American Barrels Bourbon,338,Unrated,$30,american barrels
American Born Dixie Moonshine,428,Unrated,$25,american born dixie moonshine
American Spirit Whiskey,312,4.0,$30,american spirit
Angels Envy Bourbon,648,4.0,$46,angels envy
Angels Envy Rye Whiskey,545,4.5,$70,angels envy rye
Arizona Distilling Park Rye Whiskey,313,Unrated,$25,arizona distilling park rye
Atomic Fusion Cinnamon Whiskey,338,Unrated,$15,atomic cinnamon fusion
Baby Blue Whisky,608,3.7,$50,baby blue
Backwards Distilling Milk Can Moonshine,338,Unrated,$28,backwards can distilling milk moonshine
Bainbridge Yama Mizurna Organic Whiskey,624,Unrated,$495,bainbridge mizurna organic yama
Balcones 1 Single Malt Whisky,615,3.5,$70,1 balcones
Balcones 5th Anniversary Straight Malt Whisky,557,Unrated,$95,5th anniversary balcones malt straight
Balcones Crooked Bourbon,464,Unrated,$95,balcones crooked
Balcones FR Oak Single Malt Whisky,481,Unrated,$80,balcones fr oak
Balcones True Blue 100 Corn Whisky,378,Unrated,$55,100 balcones blue corn true
Banner Wheat Whiskey,313,Unrated,$35,banner wheat
Barrell Bourbon Batch 002,603,Unrated,$62,002 barrell batch
Barrell Bourbon Batch 005,603,Unrated,$85,005 barrell batch
Barrell Bourbon Batch 007,559,Unrated,$85,007 barrell batch
Batch 206 Barrel Rider Bourbon,378,Unrated,$45,206 barrel batch rider
Bearded Lady American Bourbon,607,Unrated,$43,american bearded lady
Belle Isle Moonshine,389,Unrated,$25,belle isle moonshine
Belle Meade 9yr Sherry Cask Bourbon,576,Unrated,$75,9 belle cask meade sherry
Belmont Farm Kopper Kettle Virginia Whiskey,338,Unrated,$34,belmont farm kettle kopper virginia
Benchmark Brown Sugar Bourbon,265,3.0,$13,benchmark brown sugar
Berentzen Bushel and Barrel Apple Bourbon,419,Unrated,$20,and apple barrel berentzen bushel
Bernheim 7yr Wheat Whiskey,586,3.7,$30,7 bernheim wheat
Big Bottom Bourbon,Unrated,Unrated,$32,big bottom
Big House 6yr Bourbon,452,Unrated,$20,6 big house
Bird Dog Apple Whiskey,Unrated,Unrated,$22,apple bird dog
Bird Dog Bourbon,Unrated,Unrated,$20,bird dog
Bird Dog Cinnamon Whiskey,Unrated,5.0,$22,bird cinnamon dog
Bird Dog Maple Whiskey,Unrated,4.0,$27,bird dog maple
Bird Dog Peppermint Moonshine,Unrated,Unrated,$22,bird dog moonshine peppermint
Black Eagle Bourbon,376,3.5,$12,black eagle
Black Maple 11yr,Unrated,4.0,$45,11 black maple
Black Maple Hill 16yr,Unrated,Unrated,$78,16 black hill maple
Black Maple Hill 21yr,Unrated,Unrated,$108,21 black hill maple
Black Maple Hill Small Batch Bourbon,Unrated,4.8,$43,batch black hill maple small
Black Ridge Bourbon,457,Unrated,$30,black ridge
Blackjack Whisky,239,Unrated,$20,blackjack
Blade and Bow Bourbon,614,Unrated,$50,and blade bow
Blantons Gold Edition Bourbon,528,Unrated,$85,blantons edition gold
Blantons Straight from the Barrel Bourbon,567,5.0,$100,barrel blantons from straight the
Blaum Bros Leadmine Moonshine,Unrated,Unrated,$25,blaum bros leadmine moonshine
Blood Oath Pact 1 Bourbon,338,Unrated,$90,1 blood oath pact
Blue Flame Rye Whiskey,297,Unrated,$35,blue flame rye
Bluegrass Sundown Vanilla Coffee Whiskey,Unrated,Unrated,$25,bluegrass coffee sundown vanilla
Bookers Bourbon,Unrated,4.6,$50,bookers
Boondocks American Whiskey,453,Unrated,$40,american boondocks
Border Bourbon,Unrated,Unrated,$45,border
Bowman Brothers Virginia Bourbon,523,3.0,$30,bowman brothers virginia
Breaker Bourbon,560,4.0,$40,breaker
Breakout Rye Whiskey,Unrated,3.7,$40,breakout rye
Breckenridge Dark Arts Malt Whiskey,644,Unrated,$299,arts breckenridge dark malt
Breckenridge Single Barrel Bourbon,370,Unrated,$150,barrel breckenridge single
Breuckelen 77 Wheat Whiskey,Unrated,5.0,$30,77 breuckelen wheat
Buck Horn Bourbon,372,4.2,$12,buck horn
Buckshot Peppered Maple Whiskey,Unrated,Unrated,$25,buckshot maple peppered
Buffalo Trace White Dog 1,447,2.5,$16,1 buffalo dog trace white
Buffalo Trace White Dog Wheated Mash,352,2.0,$32,buffalo dog mash trace wheated white
Bulleit 95 Rye Whiskey,589,4.3,$28,95 bulleit rye
Bulleit Cask Strength Bourbon,616,Unrated,$50,bulleit cask strength
Bully Boy Organic Wheat Whiskey,Unrated,Unrated,$28,boy bully organic wheat
Cabin Fever Maple Flavored Whiskey,Unrated,Unrated,$28,cabin fever flavored maple
Cadee Bourbon,321,Unrated,$39,cadee
Cadee Deceptivus Port Barrel Bourbon,403,Unrated,$49,barrel cadee deceptivus port
Caliber Apple Cinnamon Whiskey,453,Unrated,$18,apple caliber cinnamon
Calumet Farm Bourbon Whiskey,Unrated,1.5,$50,calumet farm
Catdaddy Carolina Moonshine,Unrated,4.0,$19,carolina catdaddy moonshine
Catoctin Creek Mosbys Organic Spirit,331,Unrated,$29,catoctin creek mosbys organic spirit
Catskill Most Righteous New York Bourbon,554,Unrated,$45,catskill most new righteous rk
Catstkill Rye Whiskey,387,Unrated,$45,catstkill rye
Cedar Ridge Malted Rye Whisey,510,Unrated,$37,cedar malted ridge rye whisey
Cedar Ridge Unaged Whiskey,370,Unrated,$24,cedar ridge unaged
Central Standard Bourbon,Unrated,Unrated,$35,central standard
CH Bourbon,411,Unrated,$35,ch
Charbay Hop Flavored Aged Whiskey,622,Unrated,$475,aged charbay flavored hop
Charbay Whiskey,479,Unrated,$315,charbay
Charter 101 Bourbon,352,2.3,$18,101 charter
Chattanooga Whiskey 1816 Cask Whiskey,507,5.0,$45,1816 cask chattanooga
Chestnut Farm Bourbon,559,5.0,$50,chestnut farm
Chicken Cock Bootleggers Reserve Whiskey,390,Unrated,$35,bootleggers chicken cock reserve
Chicken Cock Cinnamon Whiskey,Unrated,Unrated,$20,chicken cinnamon cock
Chicken Cock Root Beer Whiskey,Unrated,Unrated,$20,beer chicken cock root
Chicken Cock Speakeasy Reserve Rye Whiskey,419,Unrated,$40,chicken cock reserve rye speakeasy
Clarkes 1866 Bourbon,Unrated,Unrated,$20,1866 clarkes
Cleveland Black Reserve Bourbon,272,4.0,$35,black cleveland reserve
Cleveland Underground Apple Wood Bourbon,419,Unrated,$45,apple cleveland underground wood
Clyde Mays Conecuh Ridge Whiskey,500,5.0,$35,clyde conecuh mays ridge
Cody Road Rye Whiskey,410,4.0,$33,cody road rye
Collier and McKeel Tennessee Whiskey,507,Unrated,$60,and collier mckeel
Colonel EH Taylor Four Grain Bourbon,Unrated,Unrated,$70,colonel eh four grain taylor
Colonel EH Taylor Rye Whiskey,Unrated,5.0,$80,colonel eh rye taylor
Colonel EH Taylor Small Batch Bourbon,573,4.4,$40,batch colonel eh small taylor
Colorado Gold Bourbon,490,Unrated,$42,colorado gold
Colorado Gold Rocky Mountan Rye Whiskey,403,Unrated,$35,colorado gold mountan rocky rye
Colters Run Bourbon Whiskey,387,Unrated,$40,colters run
Commanders Unaged Rye Whiskey,374,Unrated,$45,commanders rye unaged
Coopers Craft Bourbon,419,3.7,$29,coopers
Coopers Mark Honey Bourbon,346,Unrated,$25,coopers honey mark
Cooperstown Classic American Whiskey,395,3.0,$47,american classic cooperstown
Copper Barrel Strawberry Moonshine,338,Unrated,$24,barrel copper moonshine strawberry
Copper Fox Rye Whisky,545,3.3,$46,copper fox rye
Copper Pony Rye Whiskey,395,1.0,$20,copper pony rye
Coppersea Excelsior Bourbon,507,Unrated,$117,coppersea excelsior
Coppersea New York Corn Whiskey,419,Unrated,$78,coppersea corn new rk
Corbin Cash Blended Whiskey,419,Unrated,$49,blended cash corbin
Corner Creek Bourbon,458,3.3,$30,corner creek
Corsair Nashville Bourbon,489,Unrated,$45,corsair nashville
Corsair Pumpkin Spice Moonshine,256,Unrated,$40,corsair moonshine pumpkin spice
Corsair Ryemageddon,570,4.3,$45,corsair ryemageddon
Cougar Bourbon,Unrated,Unrated,$30,cougar
Crown Valley Coldwater Whiskey,387,Unrated,$45,coldwater crown valley
Crown Valley Missouri Moonshine,445,Unrated,$30,crown missouri moonshine valley
CW Irwin Bourbon,Unrated,Unrated,$28,cw irwin
Dads Hat Pennsylvania Rye,485,4.0,$40,dads hat pennsylvania rye
Dads Hat Vermouth Barrel Rye Whiskey,428,Unrated,$50,barrel dads hat rye vermouth
Darbys Reserve Rye Whiskey,484,Unrated,$22,darbys reserve rye
Dark Corner Hot Mama Whiskey,Unrated,5.0,$0,corner dark hot mama
Dark Corner Moonshine Whiskey,481,5.0,$36,corner dark moonshine
Dawsonville Moonshine,370,Unrated,$27,dawsonville moonshine
Deception Distilling Skagit Moon Corn Whiskey,370,Unrated,$30,corn deception distilling moon skagit
Deerhammer Distilling Whitewater Whiskey,297,Unrated,$35,deerhammer distilling whitewater
Defiant Single Malt Whisky,313,5.0,$40,defiant
Depot Silver Corn Whiskey,487,Unrated,$26,corn depot silver
Devils Share California Moonshine,607,Unrated,$25,california devils moonshine share
Distillery 291 Colorado Bourbon,603,Unrated,$72,291 colorado distillery
Door County Single Malt Whisky,378,5.0,$25,county door
Downslope Double Diamond Single Malt Whiskey,362,Unrated,$65,diamond double downslope
Dr McGillicudys Blackberry Whiskey,Unrated,Unrated,$18,blackberry dr mcgillicudys
Driftless Glen Rivershine,Unrated,Unrated,$30,driftless glen rivershine
Dry Fly 101 Bourbon,453,Unrated,$65,101 dry fly
Dry Fly Port Finish Wheat Whiskey,370,Unrated,$30,dry finish fly port wheat
Dry Fly Washington Wheat Whiskey,272,3.6,$40,dry fly washington wheat
Eagle Rare 10yr Bourbon,666,4.1,$30,10 eagle rare
Early Times 354 Bourbon,375,3.5,$16,354 early times
Early Times Fire Eater Cinnamon Whisky,384,4.5,$13,cinnamon early eater fire times
Eastside Distilling Burnside 4yr Bourbon,406,1.5,$28,4 burnside distilling eastside
Elijah Craig 18yr Bourbon,636,4.5,$120,18 craig elijah
Elijah Craig 21yr Bourbon,370,Unrated,$140,21 craig elijah
Elijah Craig 25yr Bourbon,Unrated,Unrated,$200,25 craig elijah
Elmer T Lee Bourbon,454,4.3,$30,elmer lee t
Engine 49 Barrel Strength Rye Whiskey,Unrated,Unrated,$50,49 barrel engine rye strength
Engine 49 Rye Whiskey,Unrated,Unrated,$30,49 engine rye
Evan Williams 1994 Vintage Bourbon,Unrated,Unrated,$30,1994 evan vintage williams
Evan Williams 1996 Vintage Bourbon,Unrated,Unrated,$25,1996 evan vintage williams
Evan Williams 1998 Vintage Bourbon,Unrated,Unrated,$25,1998 evan vintage williams
Evan Williams 2000 Vintage Bourbon,Unrated,4.0,$25,2000 evan vintage williams
Evan Williams 2002 Vintage Bourbon,603,4.0,$25,2002 evan vintage williams
Evan Williams 2004 Vintage Bourbon,Unrated,4.2,$27,2004 evan vintage williams
Evan Williams 2006 Vintage Bourbon,Unrated,3.0,$24,2006 evan vintage williams
Evan Williams 2008 Vintage Bourbon,Unrated,3.8,$30,2008 evan vintage williams
Evan Williams Bottled in Bond Bourbon,Unrated,4.0,$14,bond bottled evan in williams
Evan Williams Green Label Bourbon,Unrated,2.3,$9,evan green williams
Ezra Brooks 90pf Bourbon,395,3.8,$18,90pf brooks ezra
Few Bourbon,365,3.0,$50,few
Few Single Malt Whisky,459,1.0,$70,few
Fighting Cock 6yr Bourbon,Unrated,3.1,$19,6 cock fighting
Filibuster Dual Cask Rye Whiskey,407,Unrated,$42,cask dual filibuster rye
Firefly Caramel Moonshine,Unrated,1.0,$20,caramel firefly moonshine
Firestone and Robertson TX Blended Whiskey,545,5.0,$40,and blended firestone robertson tx
Fitchs Goat Moonshine,Unrated,Unrated,$30,fitchs goat moonshine
Five and 20 SB2RW Rye Whiskey,626,Unrated,$50,20 and five rye sb2rw
Fogs End California Moonshine,321,Unrated,$25,california end fogs moonshine
Four Roses 2009 Barrel Strength Bourbon,Unrated,Unrated,$50,2009 barrel four roses strength
Four Roses 2011 Barrel Strength Bourbon,523,Unrated,$77,2011 barrel four roses strength
Four Roses 2014 Single Barrel Bourbon,399,Unrated,$99,2014 barrel four roses single
Four Roses Bourbon,603,3.5,$19,four roses
Four Roses Single Barrel 100pf Bourbon,672,4.4,$38,100pf barrel four roses single
Fremont Mischief Whiskey,Unrated,Unrated,$30,fremont mischief
Garrison Brothers 2014 Texas Bourbon,313,Unrated,$80,2014 brothers garrison texas
Gentleman Jack Whiskey,559,3.7,$23,daniel gentleman jack jack
George Dickel Cascade Hollow Whisky,Unrated,4.0,$13,cascade dickel george hollow
George Dickel No 12 Whisky,594,4.0,$25,12 dickel george no
George Dickel Rye Whisky,685,3.9,$25,dickel george rye
George T Stagg Bourbon,370,4.0,$70,george stagg t
Georgia Peach Whiskey,Unrated,Unrated,$35,georgia peach
Glacier Fireweed Bourbon Cherry Liqueur,313,Unrated,$38,cherry fireweed glacier liqueur
Glen Thunder Corn Whiskey,Unrated,5.0,$24,corn glen thunder
Golden Moon Single Malt Whiskey,603,Unrated,$100,golden moon
Great Lakes Kinnickinnic American Whiskey,452,Unrated,$39,american great kinnickinnic lakes
Great Northern Doppelganger Whiskey,Unrated,Unrated,$35,doppelganger great northern
Great Northern Vanguard Whiskey,429,Unrated,$38,great northern vanguard
Griffs Cowboy Whiskey,266,Unrated,$30,cowboy griffs
H Walker and Sons Hot Cinnamon Moonshine,265,Unrated,$22,and cinnamon h hot moonshine sons walker
H Walker and Sons Peach Moonshine,362,Unrated,$22,and h moonshine peach sons walker
Hamilton Whiskey Del Bac Classic Single Malt,419,Unrated,$39,bac classic del hamilton
Hamilton Whiskey Del Back Dorado Single Malt,603,5.0,$58,back del dorado hamilton
Hatfield and McCoy Family Brand Whiskey,330,Unrated,$40,and brand family hatfield mccoy
Hayes Parker Cherry Bourbon,395,Unrated,$13,cherry hayes parker
Headlong White Dog Whiskey,436,4.0,$35,dog headlong white
Heaven Hill Old Style Bourbon,Unrated,2.6,$10,heaven hill old style
Henebery Spiced Whiskey,346,Unrated,$40,henebery spiced
Henry McKenna 10yr Bottled in Bond Bourbon,579,3.8,$30,10 bond bottled henry in mckenna
Heritage Distilling Dual Barrel Bourbon,403,Unrated,$29,barrel distilling dual heritage
Heritage Distilling Elk Rider Blended Whiskey,346,Unrated,$45,blended distilling elk heritage rider
Hidden Marsh Lone Loggers Bourbon,297,Unrated,$45,hidden loggers lone marsh
Hidden Still Screw Head Shine,338,Unrated,$32,head hidden screw shine still
Hidden Stock Whiskey,419,Unrated,$17,hidden stock
High West A Midwinter Nights Dram,657,4.0,$80,a dram high midwinter nights west
High West American Prairie Reserve Bourbon,466,3.0,$40,american high prairie reserve west
High West Bourye Whiskey,395,Unrated,$80,bourye high west
High West Double Rye Whiskey,545,4.3,$40,double high rye west
High West Rocky Mountain 21yr Rye,Unrated,5.0,$130,21 high mountain rocky rye west
High West Silver OMG Pure Rye Whiskey,526,4.0,$48,high omg pure rye silver west
High West Son of Bourye Whiskey,445,3.0,$53,bourye high of son west
High Whiskey,256,Unrated,$28,high
High Wire Southern Revival Madeira Finish Bourbon,453,Unrated,$70,finish high madeira revival southern wire
Highspire Pure Rye Whiskey,419,Unrated,$46,highspire pure rye
Hillrock Estate Double Cask Rye Whiskey,604,Unrated,$100,cask double estate hillrock rye
Hillrock Solera Aged Bourbon,689,5.0,$80,aged hillrock solera
Hirsch Selection Corn Whiskey,239,Unrated,$26,corn hirsch selection
Hochstadters Rock and Rye,Unrated,3.4,$24,and hochstadters rock rye
Homestead Barrel Proof Bourbon,406,4.8,$42,barrel homestead proof
Hookers House Bourbon,361,Unrated,$36,hookers house
House Spirits White Dog Whiskey,486,Unrated,$30,dog house spirits white
Hudson Baby Bourbon Whiskey,501,3.8,$44,baby hudson
Hudson Four Grain Bourbon Whiskey,554,3.2,$44,four grain hudson
Hudson Maple Rye Whiskey,490,Unrated,$44,hudson maple rye
Humphreys Arizona Malt Whiskey,481,Unrated,$30,arizona humphreys malt
Infusion Diabolique Kentucky Flavored Bourbon,272,Unrated,$42,diabolique flavored infusion kentucky
Ironroot Republic Harbinger Bourbon,338,Unrated,$55,harbinger ironroot republic
IW Harper 15yr Bourbon,614,Unrated,$75,15 harper iw
J Becher American Rye Whiskey,603,Unrated,$60,american becher j rye
J Henry and Sons 5yr Patton Road Reserve Bourbon,623,Unrated,$69,5 and henry j patton reserve road sons
Jack Daniels Green Label Whiskey,Unrated,1.9,$22,daniels green jack
Jack Daniels Rested Rye Whiskey,Unrated,Unrated,$60,daniels jack rested rye
Jack Daniels Sinatra Select Whisky,Unrated,Unrated,$200,daniels jack select sinatra
Jack Daniels Single Barrel Whiskey,523,3.8,$55,barrel daniels jack single
Jack Daniels Whiskey,352,3.0,$26,daniels jack
Jacobs Ghost White Whiskey,382,3.0,$22,ghost jacobs white
James E Pepper 1776 Barrel Proof Rye Whiskey,507,Unrated,$47,1776 barrel e james pepper proof rye
James E Pepper 1776 Rye Whiskey,518,2.7,$30,1776 e james pepper rye
James Oliver Rye Whiskey,403,Unrated,$26,james oliver rye
Jeffersons 15yr Reserve Bourbon,534,4.0,$56,15 jeffersons reserve
Jeffersons 21yr Rye Whiskey,Unrated,Unrated,$150,21 jeffersons rye
Jeffersons Chefs Collaboration Blended Whisky,Unrated,5.0,$45,blended chefs collaboration jeffersons
Jeffersons Reserve Groth Cask Bourbon,453,Unrated,$80,cask groth jeffersons reserve
Jeremiah Weed Cherry Mash Bourbon,Unrated,3.3,$18,cherry jeremiah mash weed
Jeremiah Weed Sarsparilla Whiskey,313,Unrated,$20,jeremiah sarsparilla weed
Jim Beam 7yr Bourbon,Unrated,4.0,$35,7 beam jim
Jim Beam Apple Bourbon,Unrated,1.8,$16,apple beam jim
Jim Beam Bonded 100 Proof Bourbon,546,2.0,$23,100 beam bonded jim proof
Jim Beam Choice Bourbon,Unrated,3.0,$26,beam choice jim
Jim Beam Double Oak Bourbon,Unrated,3.8,$27,beam double jim oak
Jim Beam Kentucky Fire Cinnamon Whiskey,432,3.3,$16,beam cinnamon fire jim kentucky
Jim Beam Masterpiece Bourbon,627,Unrated,$200,beam jim masterpiece
Jim Beam Rye Whiskey,519,3.6,$23,beam jim rye
Jim Beam Signature Craft 12yr Bourbon,473,4.0,$43,12 beam jim signature
Jim Beam Signature Craft High Rye Bourbon,491,Unrated,$50,beam high jim rye signature
Jim Beam Signature Red Wheat Bourbon,586,2.0,$50,beam jim red signature wheat
Jim Beam Signature Triticale Bourbon,395,Unrated,$50,beam jim signature triticale
Jimmys Texas Bourbon,395,Unrated,$60,jimmys texas
JKs Naked Rye Whiskey,Unrated,Unrated,$30,jks naked rye
John E Fitzgerald 20yr Bourbon,603,Unrated,$300,20 e fitzgerald john
Johnny Drum Black Label Bourbon,361,1.0,$20,black drum johnny
Johnny Drum Private Stock Bourbon,Unrated,4.4,$45,drum johnny private stock
Journeyman Buggy Whip Organic Wheat Whiskey,Unrated,Unrated,$35,buggy journeyman organic wheat whip
Journeyman Federalist 12th Rye Whiskey,Unrated,Unrated,$45,12th federalist journeyman rye
Journeyman Silver Cross Organic Whiskey,472,Unrated,$30,cross journeyman organic silver
Journeyman WR Organic Whiskey,454,Unrated,$35,journeyman organic wr
JR Ewing Private Reserve 4yr Bourbon,428,Unrated,$35,4 ewing jr private reserve
JTS Brown 10yr Bourbon,Unrated,Unrated,$12,10 brown jts
Judds Wreckin Ball Corn Whiskey,Unrated,Unrated,$28,ball corn judds wreckin
Ke Whiskey,481,Unrated,$30,ke
Kentucky Tavern,388,3.0,$11,kentucky tavern
Kentuckys Old Reserve Bourbon,264,Unrated,$10,kentuckys old reserve
Kings County Barrel Strength Bourbon,338,Unrated,$30,barrel county kings strength
Kings County Distillery Rye Whiskey,576,Unrated,$50,county distillery kings rye
Kings County Single Malt Whiskey,338,Unrated,$23,county kings
Kinsey Bourbon Whiskey,Unrated,Unrated,$40,kinsey
Kirkland 7yr Small Batch Bourbon,Unrated,2.6,$20,7 batch kirkland small
Kirkland Signature Tennessee Whiskey,403,Unrated,$25,kirkland signature
Knob Creek Rye Whiskey,626,4.0,$40,creek knob rye
Knob Creek Smoked Maple Flavored Bourbon,482,3.0,$31,creek flavored knob maple smoked
Koenig Seven Devils Bourbon,481,3.0,$30,devils koenig seven
Koval Four Grain Single Barrel Whiskey,Unrated,Unrated,$60,barrel four grain koval single
Koval Organic American Oat Spirit,Unrated,Unrated,$40,american koval oat organic spirit
Koval Organic Levant Spelt Whiskey,Unrated,Unrated,$40,koval levant organic spelt
Koval Organic Raksi Millet Whiskey,Unrated,Unrated,$29,koval millet organic raksi
Koval Single Barrel Millet Whiskey,Unrated,Unrated,$40,barrel koval millet single
Koval White Rye Whiskey,Unrated,Unrated,$30,koval rye white
LA 1 Whiskey,467,Unrated,$45,1 la
Lazy River Bourbon,453,Unrated,$33,lazy river
Leopold Bros New York Apple Whiskey,Unrated,1.0,$36,apple bros leopold new rk
Leopold Bros Small Batch Whiskey,Unrated,Unrated,$32,batch bros leopold small
Lexington Bourbon Whiskey,427,3.2,$30,lexington
Litchfield Batchers Bourbon,419,Unrated,$45,batchers litchfield
Local Choice Bourbon,297,Unrated,$25,choice local
Local Choice Whiskey,265,Unrated,$22,choice local
Lock Stock and Barrel 16yr Rye Whiskey,603,Unrated,$150,16 and barrel lock rye stock
